epc,rssi,timestamp,reader,antenna
18412345,-49,2026-04-18 22:22:31.944,192.168.1.10,1,CP
18412345,-50,2026-04-18 22:22:31.968,192.168.1.10,1,CP
18412345,-52,2026-04-18 22:22:31.995,192.168.1.10,1,CP
18412345,-50,2026-04-18 22:22:32.018,192.168.1.10,1,CP
18412345,-50,2026-04-18 22:22:32.043,192.168.1.10,1,CP
18412345,-51,2026-04-18 22:22:32.064,192.168.1.10,1,CP
18412345,-51,2026-04-18 22:22:32.093,192.168.1.10,1,CP
18412345,-50,2026-04-18 22:22:32.111,192.168.1.10,1,CP
18412345,-50,2026-04-18 22:22:32.140,192.168.1.10,1,CP
18412345,-50,2026-04-18 22:22:32.161,192.168.1.10,1,CP
18412345,-50,2026-04-18 22:22:32.187,192.168.1.10,1,CP
18412345,-49,2026-04-18 22:22:32.206,192.168.1.10,1,CP
18412345,-48,2026-04-18 22:22:32.236,192.168.1.10,1,CP
18412345,-48,2026-04-18 22:22:32.259,192.168.1.10,1,CP
18412345,-48,2026-04-18 22:22:32.283,192.168.1.10,1,CP
18412345,-48,2026-04-18 22:22:32.305,192.168.1.10,1,CP
18412345,-46,2026-04-18 22:22:32.341,192.168.1.10,1,CP
18412345,-45,2026-04-18 22:22:32.360,192.168.1.10,1,CP
18412345,-45,2026-04-18 22:22:32.388,192.168.1.10,1,CP
18412345,-45,2026-04-18 22:22:32.408,192.168.1.10,1,CP
18412345,-44,2026-04-18 22:22:32.436,192.168.1.10,1,CP
18412345,-43,2026-04-18 22:22:32.456,192.168.1.10,1,CP
18412345,-43,2026-04-18 22:22:32.485,192.168.1.10,1,CP
18412345,-42,2026-04-18 22:22:32.505,192.168.1.10,1,CP
18412345,-42,2026-04-18 22:22:32.540,192.168.1.10,1,CP
18412345,-42,2026-04-18 22:22:32.563,192.168.1.10,1,CP
18412345,-42,2026-04-18 22:22:32.590,192.168.1.10,1,CP
18412345,-42,2026-04-18 22:22:32.610,192.168.1.10,1,CP
18412345,-43,2026-04-18 22:22:32.641,192.168.1.10,1,CP
18412345,-43,2026-04-18 22:22:32.661,192.168.1.10,1,CP
18412345,-46,2026-04-18 22:22:32.689,192.168.1.10,1,CP
18412345,-47,2026-04-18 22:22:32.710,192.168.1.10,1,CP
18412345,-50,2026-04-18 22:22:32.746,192.168.1.10,1,CP
18412345,-51,2026-04-18 22:22:32.765,192.168.1.10,1,CP
18412345,-51,2026-04-18 22:22:32.795,192.168.1.10,1,CP
18412345,-50,2026-04-18 22:22:32.814,192.168.1.10,1,CP
18412345,-51,2026-04-18 22:22:32.842,192.168.1.10,1,CP
18412345,-51,2026-04-18 22:22:32.863,192.168.1.10,1,CP
18412345,-51,2026-04-18 22:22:32.890,192.168.1.10,1,CP
18412345,-50,2026-04-18 22:22:32.912,192.168.1.10,1,CP
18412345,-51,2026-04-18 22:22:32.948,192.168.1.10,1,CP
18412345,-50,2026-04-18 22:22:32.970,192.168.1.10,1,CP
18412345,-50,2026-04-18 22:22:32.995,192.168.1.10,1,CP
18412345,-50,2026-04-18 22:22:33.017,192.168.1.10,1,CP
18412345,-50,2026-04-18 22:22:33.044,192.168.1.10,1,CP
18412345,-49,2026-04-18 22:22:33.066,192.168.1.10,1,CP
18412345,-49,2026-04-18 22:22:33.093,192.168.1.10,1,CP
18412345,-49,2026-04-18 22:22:33.113,192.168.1.10,1,CP
18412345,-47,2026-04-18 22:22:33.149,192.168.1.10,1,CP
18412345,-47,2026-04-18 22:22:33.169,192.168.1.10,1,CP
18412345,-46,2026-04-18 22:22:33.199,192.168.1.10,1,CP
18412345,-47,2026-04-18 22:22:33.219,192.168.1.10,1,CP
18412345,-47,2026-04-18 22:22:33.245,192.168.1.10,1,CP
18412345,-46,2026-04-18 22:22:33.268,192.168.1.10,1,CP
18412345,-46,2026-04-18 22:22:33.294,192.168.1.10,1,CP
18412345,-46,2026-04-18 22:22:33.315,192.168.1.10,1,CP
18412345,-46,2026-04-18 22:22:33.342,192.168.1.10,1,CP
18412345,-46,2026-04-18 22:22:33.377,192.168.1.10,1,CP
18412345,-46,2026-04-18 22:22:33.408,192.168.1.10,1,CP
18412345,-46,2026-04-18 22:22:33.434,192.168.1.10,1,CP
18412345,-46,2026-04-18 22:22:33.471,192.168.1.10,1,CP
18412345,-46,2026-04-18 22:22:33.496,192.168.1.10,1,CP
18412345,-46,2026-04-18 22:22:33.529,192.168.1.10,1,CP
18412345,-46,2026-04-18 22:22:33.559,192.168.1.10,1,CP
18412345,-46,2026-04-18 22:22:33.588,192.168.1.10,1,CP
18412345,-46,2026-04-18 22:22:33.609,192.168.1.10,1,CP
18412345,-46,2026-04-18 22:22:33.636,192.168.1.10,1,CP
18412345,-46,2026-04-18 22:22:33.659,192.168.1.10,1,CP
18412345,-46,2026-04-18 22:22:33.685,192.168.1.10,1,CP
18412345,-46,2026-04-18 22:22:33.706,192.168.1.10,1,CP
18412345,-46,2026-04-18 22:22:33.734,192.168.1.10,1,CP
18412345,-45,2026-04-18 22:22:33.762,192.168.1.10,1,CP
18412345,-45,2026-04-18 22:22:33.789,192.168.1.10,1,CP
18412345,-45,2026-04-18 22:22:33.810,192.168.1.10,1,CP
18412345,-45,2026-04-18 22:22:33.839,192.168.1.10,1,CP
18412345,-45,2026-04-18 22:22:33.859,192.168.1.10,1,CP
18412345,-45,2026-04-18 22:22:33.888,192.168.1.10,1,CP
18412345,-46,2026-04-18 22:22:33.906,192.168.1.10,1,CP
18412345,-46,2026-04-18 22:22:33.936,192.168.1.10,1,CP
18412345,-46,2026-04-18 22:22:33.965,192.168.1.10,1,CP
18412345,-46,2026-04-18 22:22:33.991,192.168.1.10,1,CP
18412345,-47,2026-04-18 22:22:34.022,192.168.1.10,1,CP
18412345,-47,2026-04-18 22:22:34.042,192.168.1.10,1,CP
18412345,-47,2026-04-18 22:22:34.069,192.168.1.10,1,CP
18412345,-47,2026-04-18 22:22:34.092,192.168.1.10,1,CP
18412345,-47,2026-04-18 22:22:34.120,192.168.1.10,1,CP
18412345,-48,2026-04-18 22:22:34.141,192.168.1.10,1,CP
18412345,-48,2026-04-18 22:22:34.178,192.168.1.10,1,CP
18412345,-48,2026-04-18 22:22:34.196,192.168.1.10,1,CP
18412345,-48,2026-04-18 22:22:34.223,192.168.1.10,1,CP
18412345,-48,2026-04-18 22:22:34.247,192.168.1.10,1,CP
18412345,-48,2026-04-18 22:22:34.271,192.168.1.10,1,CP
18412345,-48,2026-04-18 22:22:34.296,192.168.1.10,1,CP
18412345,-48,2026-04-18 22:22:34.318,192.168.1.10,1,CP
18412345,-48,2026-04-18 22:22:34.346,192.168.1.10,1,CP
18412345,-48,2026-04-18 22:22:34.362,192.168.1.10,1,CP
18412345,-48,2026-04-18 22:22:34.391,192.168.1.10,1,CP
18412345,-48,2026-04-18 22:22:34.414,192.168.1.10,1,CP
18412345,-47,2026-04-18 22:22:34.440,192.168.1.10,1,CP
18412345,-47,2026-04-18 22:22:34.461,192.168.1.10,1,CP
18412345,-46,2026-04-18 22:22:34.485,192.168.1.10,1,CP
